Qubit,,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,Operational
48,,324.3706761531188,437.1074332833246,0.003051758,0.002441406,0.002441406,2584,0.000287564,32,0.000287564,0,0.000287564,0.000287564,47:0.0023196450828934234;49:0.0017232628402943928,47:88;49:88,47:0.0020710953207007665;49:0.0021167988182049235,Yes
49,,333.9582098373736,467.8563789442493,0.002685547,0.002441406,0,2584,0.000339778,32,0.000339778,0,0.000339778,0.000339778,48:0.0017232628402943928;50:0.0024694345588761046;38:0.0020959860435587896,48:88;50:88;38:88,48:0.0021167988182049235;50:0.008074915345052308;38:0.0018829796312073988,Yes
50,,168.44990483156658,245.8928098591513,0.111450195,0.126464844,0.117675781,2584,0.000182408,32,0.000182408,0,0.000182408,0.000182408,49:0.0024694345588761046;51:0.0021163868914624573,49:88;51:88,49:0.008074915345052308;51:0.0022846474333285682,Yes
51,,406.92725580547767,391.69306715965786,0.003417969,0.005371094,0.00390625,2584,0.000323065,32,0.000323065,0,0.000323065,0.000323065,50:0.0021163868914624573;52:0.0011324032775406334;58:0.0021604607615196003,50:88;52:88;58:88,50:0.0022846474333285682;52:0.002625598268578583;58:0.003238707444343847,Yes
52,,264.31312497073236,308.79023512794384,0.005981445,0.001953125,0.000488281,2584,0.000152049,32,0.000152049,0,0.000152049,0.000152049,51:0.0011324032775406334;53:0.0015164183457900826,51:88;53:88,51:00.0,Yes
53,,385.21576105369826,427.72278014368703,0.012329102,0.024414063,0.01171875,2584,0.000166014,32,0.000166014,0,0.000166014,0.000166014,39:0.0008740608524928917;52:0.0015164183457900826;54:0.0011043116515456752,39:88;52:88;54:88,39:0.0012287840613963152;54:0.002090831585177866,Yes
54,,319.2459444241149,453.7553191,0.001708984,0.002441406,0.000488281,2584,0.000335092,32,0.000335092,0,0.000335092,0.000335092,53:0.0011043116515456752;55:0.0012423207938673797,53:88;55:88,53:0.002090831585177866;55:0.0011345319486122385,Yes
55,,78.32490376,98.03900449261839,0.001708984,0.002929688,0.000976563,2584,0.000180946,32,0.000180946,0,0.000180946,0.000180946,59:0.0012530555953561007;54:0.0012423207938673797,59:88;54:88,59:0.0026233116550941626;54:0.0011345319486122385,Yes
56,,365.1803083255011,453.86080771966374,0.00390625,0.006835938,0.002929688,2584,,32,,0,,,43:00.0,63:88;43:88,,Yes
57,,62.96416395653519,117.75711491015804,0.005493164,0.012695313,0.000976563,2584,0.000249192,32,0.000249192,0,0.000249192,0.000249192,47:0.0021807701129477886;67:0.002474842319823395,47:88;67:88,07:00.0,Yes
58,,293.84096722833084,307.6402514781684,0.004150391,0.006835938,0.001464844,2584,0.000161738,32,0.000161738,0,0.000161738,0.000161738,71:0.001597789766094676;51:0.0021604607615196003,71:88;51:88,51:00.0,Yes
59,,315.5251969952181,384.3845215023148,0.001831055,0.004394531,0.000976563,2584,0.000505474,32,0.000505474,0,0.000505474,0.000505474,55:0.0012530555953561007;75:0.0026398109512889567,55:88;75:88,55:0.0026233116550941626;75:0.0015968097294449812,Yes
60,,308.29439673665723,445.78710940574103,0.001708984,0.004394531,0.000488281,2584,,32,,0,,,01:00.0,61:88,01:00.0,Yes
61,,291.36642007116626,335.2111093774555,0.002197266,0.006835938,0.000488281,2584,0.000114378,32,0.000114378,0,0.000114378,0.000114378,76:0.0014399540841051883;60:0.0020462442283644133;62:0.0016907210818330742,76:88;60:88;62:88,76:0.002477295970757548;60:0.003122456921402117;62:0.0012997022967816407,Yes
62,,319.0321997384323,440.18406499020375,0.001708984,0.003417969,0,2584,7.929E-05,32,7.929E-05,0,7.929E-05,7.929E-05,61:0.0016907210818330742;63:0.0010989260862390438,61:88;63:88,61:0.0012997022967816407;63:0.0017165517903107996,Yes
63,,314.77808287923136,529.9920690667259,0.005004883,0.01171875,0.000488281,2584,,32,,0,,,62:0.0010989260862390438;64:0.001337919393175624,56:88;62:88;64:88,62:0.0017165517903107996;64:0.002044000841050053,Yes
64,,320.41107423520043,430.72761697562714,0.001831055,0.001953125,0.002441406,2584,0.000151368,32,0.000151368,0,0.000151368,0.000151368,65:0.001491402836847705;63:0.001337919393175624,65:88;63:88,65:0.0028123482263823774;63:0.002044000841050053,Yes
65,,206.9774581566243,241.65369915388538,0.005615234,0.004394531,0.000488281,2584,0.000425719,32,0.000425719,0,0.000425719,0.000425719,64:0.001491402836847705;66:0.0015448721147380828;77:0.0020697182242998824,64:88;66:88;77:88,64:0.0028123482263823774;66:0.0010093859618315049;77:0.0034308965795644686,Yes
66,,340.97728614551824,354.5088809879377,0.00378418,0.013183594,0.000488281,2584,0.000494018,32,0.000494018,0,0.000494018,0.000494018,65:0.0015448721147380828;67:0.0012661315821843322,65:88;67:88,65:0.0010093859618315049;67:0.0015921616879902845,Yes
67,,330.38765097233585,292.03148365488414,0.010253906,0.014648438,0.006835938,2584,0.000225319,32,0.000225319,0,0.000225319,0.000225319,68:0.0011475709955300617;57:0.002474842319823395;66:0.0012661315821843322,68:88;57:88;66:88,68:0.0008699986428575557;57:0.0020727243745344015;66:0.0015921616879902845,Yes
68,,326.5448215329446,330.5554746022533,0.001831055,0.004394531,0.000976563,2584,0.000330535,32,0.000330535,0,0.000330535,0.000330535,67:0.0011475709955300617;69:0.0009825085386963583,67:88;69:88,67:0.0008699986428575557;69:0.0015642233728541677,Yes
69,,288.58282171897645,280.3983850462485,0.011230469,0.006347656,0.010253906,2584,0.000221925,32,0.000221925,0,0.000221925,0.000221925,78:0.0035079239473871926;68:0.0009825085386963583;70:0.0010565710368766745,78:88;68:88;70:88,78:0.0025096683165955758;68:0.0015642233728541677;70:0.0024717174793472685,Yes
70,,321.8921698627022,305.7237929432774,0.003295898,0.002441406,0.001464844,2584,0.000207026,32,0.000207026,0,0.000207026,0.000207026,69:0.0010565710368766745;71:0.0017710280590052807,69:88;71:88,09:00.0,Yes
71,,363.73612305965855,324.2246668588725,0.005004883,0.004882813,0.004394531,2584,0.000198746,32,0.000198746,0,0.000198746,0.000198746,72:0.0022537724596742303;58:0.001597789766094676;70:0.0017710280590052807,72:88;58:88;70:88,12:00.0,Yes
72,,329.05379317699317,429.32787377517764,0.003295898,0.001953125,0.001464844,2584,0.000106042,32,0.000106042,0,0.000106042,0.000106042,73:0.001205998207629455;71:0.0022537724596742303,73:88;71:88,73:0.0019682969857114097;71:0.0018825291821962797,Yes
