Qubit,,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,Operational
126,,387.82231605687105,436.48057879556194,0.004272461,0.004882813,0.00390625,2584,0.000119602,32,0.000119602,0,0.000119602,0.000119602,127:0.00122497737581026;125:0.004085280823539872,127:88;125:88,05:00.0,Yes
127,,390.12087354172075,512.7368916041527,0.021606445,0.019042969,0.026367188,2584,,32,,0,,,126:0.00122497737581026;128:0.001690352046097271;137:0.003977995373865423,126:88;128:88;137:88,128:0.003381109890027073;137:0.0023674891086604977,Yes
128,,174.8791350544937,316.8683041713923,0.003173828,0.005371094,0.000976563,2584,0.000194389,32,0.000194389,0,0.000194389,0.000194389,127:0.001690352046097271;129:0.00106107562985297,127:88;129:88,127:0.003381109890027073;129:0.002940077530417945,Yes
129,,384.0626535650926,419.80353517282595,0.005126953,0.005859375,0.002441406,2584,0.000274162,32,0.000274162,0,0.000274162,0.000274162,128:0.00106107562985297;118:0.0015798987280917498,130:88;128:88;118:88,130:0.0019045320466431481;128:0.002940077530417945;118:0.003400623589956714,Yes
130,,322.71480236998303,398.29464360258316,0.122070313,0.115722656,0.130859375,2584,0.000288906,32,0.000288906,0,0.000288906,0.000288906,11:00.0,129:88;131:88,129:0.0019045320466431481;131:0.000493589117258636,Yes
131,,349.24538959978963,406.8487095400396,0.005493164,0.012695313,0.001953125,2584,,32,,0,,,138:0.0013349777421969022;130:0.0042919175472438675;132:0.005568599678075353,138:88;130:88;132:88,138:0.0007717292355921557;130:0.000493589117258636;132:0.0036568102369343436,Yes
132,,287.77855674823496,376.78211230260837,0.008300781,0.012695313,0.00390625,2584,0.00016601,32,0.00016601,0,0.00016601,0.00016601,133:0.001013844098733785;131:0.005568599678075353,133:88;131:88,133:0.0013881057332433;131:0.0036568102369343436,Yes
133,,362.0292254379866,392.86065861986833,0.004760742,0.0078125,0.004882813,2584,,32,,0,,,132:0.001013844098733785;134:0.0024200786487889314;119:0.002272021337771546,132:88;134:88;119:88,132:0.0013881057332433;134:7.483529208263118e-7;119:0.00045130627913586574,Yes
134,,362.97604099297644,405.7746565746417,0.00402832,0.012695313,0.002441406,2584,0.000268809,32,0.000268809,0,0.000268809,0.000268809,13:00.0,133:88;135:208,133:7.483529208263118e-7,Yes
135,,404.80013323263836,543.0212717442298,0.005004883,0.007324219,0.001464844,2584,0.00019795,32,0.00019795,0,0.00019795,0.00019795,19:00.0,134:208;139:88,,Yes
136,,373.6738837702507,507.13676854374484,0.005249023,0.007324219,0.008789063,2584,0.000145013,32,0.000145013,0,0.000145013,0.000145013,123:0.0019897553624541597;143:0.0017319979629043802,123:88;143:88,,Yes
137,,135.5613385246253,222.68838999768957,0.002685547,0.008300781,0.000488281,2584,0.000238049,32,0.000238049,0,0.000238049,0.000238049,147:0.00444852725658379;127:0.003977995373865423,147:88;127:88,147:0.001733700631131041;127:0.0023674891086604977,Yes
138,,386.89789760454624,489.2897364695396,0.004516602,0.005371094,0.002929688,2584,0.000391489,32,0.000391489,0,0.000391489,0.000391489,151:0.0015080953355428306;131:0.0013349777421969022,151:88;131:88,151:0.0014526105613324736;131:0.0007717292355921557,Yes
139,,338.2815425,545.3109704088916,0.007568359,0.010742188,0.000488281,2584,0.000318168,32,0.000318168,0,0.000318168,0.000318168,155:0.0020843273962478093;135:0.00454259656837766,155:88;135:88,35:00.0,Yes
140,,221.41126323688695,345.7610608116612,0.005126953,0.003417969,0.005371094,2584,0.000245114,32,0.000245114,0,0.000245114,0.000245114,21:00.0,141:88,21:00.0,Yes
141,,344.39459358526847,456.42525815005695,0.00402832,0.00390625,0.001464844,2584,,32,,0,,,140:0.0021692276996299054;142:0.002298101857983348,140:88;142:88,140:0.0013009960641938434;142:0.0016171120787564497,Yes
142,,297.31050625291806,311.9517077645967,0.004150391,0.005371094,0,2584,,32,,0,,,143:0.002262338021915805;141:0.002298101857983348,143:88;141:88,21:00.0,Yes
143,,353.2490155785111,452.82519443031276,0.001953125,0.003417969,0.000976563,2584,0.000339485,32,0.000339485,0,0.000339485,0.000339485,142:0.002262338021915805;144:0.0014438090144990035;136:0.0017319979629043802,142:88;144:88;136:88,24:00.0,Yes
144,,375.4907432004093,493.80213017337087,0.007568359,0.002929688,0.010253906,2584,,32,,0,,,145:0.001118563124059696;143:0.0014438090144990035,145:88;143:88,145:0.0014279912432160202;143:0.0012839300934468778,Yes
145,,393.20494391965224,384.9976912785452,0.003295898,0.007324219,0.000488281,2584,,32,,0,,,24:00.0,144:88;146:88,24:00.0,Yes
146,,296.48524205624716,360.9866646629949,0.002197266,0.007324219,0.001953125,2584,0.000145853,32,0.000145853,0,0.000145853,0.000145853,27:00.0,145:88;147:88,27:00.0,Yes
147,,403.4805916830656,471.7695337894383,0.004150391,0.004394531,0.004394531,2584,,32,,0,,,148:0.002045535727005915;137:0.00444852725658379;146:0.002511659595593324,148:88;137:88;146:88,148:0.0009923075084401212;137:0.001733700631131041;146:0.0020207763742815243,Yes
148,,311.8966949972429,466.77849826876934,0.005126953,0.005859375,0.000488281,2584,0.000129021,32,0.000129021,0,0.000129021,0.000129021,147:0.002045535727005915;149:0.0010896138705902003,147:88;149:88,147:0.0009923075084401212;149:0.0016880666959056823,Yes
149,,325.81764329750513,266.94388914806706,0.003051758,0.007324219,0.000976563,2584,0.00018358,32,0.00018358,0,0.00018358,0.00018358,150:0.0016990903886271724;148:0.0010896138705902003,150:88;148:88,28:00.0,Yes
150,,379.28086639472195,278.1415651444387,0.006103516,0.006835938,0.005859375,2584,0.000122498,32,0.000122498,0,0.000122498,0.000122498,149:0.0016990903886271724;151:0.0021470273502824655,149:88;151:88,31:00.0,Yes
151,,334.32151887126423,334.8006618190983,0.010986328,0.003417969,0.007324219,2584,0.00032813,32,0.00032813,0,0.00032813,0.00032813,138:0.0015080953355428306;152:0.005149625127736118;150:0.0021470273502824655,138:88;152:88;150:88,138:0.0014526105613324736;152:0.0013960989041031102;150:0.0024524139918632726,Yes
152,,316.2197628802955,569.0286307291194,0.002075195,0.00390625,0.000488281,2584,0.000132595,32,0.000132595,0,0.000132595,0.000132595,151:0.005149625127736118;153:0.001243986973229777,151:88;153:88,151:0.0013960989041031102;153:0.0016863572515373737,Yes
153,,309.8100419,523.5895278961187,0.003417969,0.002929688,0.001464844,2584,,32,,0,,,152:0.001243986973229777;154:0.0008872116203781366,152:88;154:88,152:0.0016863572515373737;154:0.0010925401538628143,Yes
154,,341.1225459032227,614.9221009512081,0.005004883,0.005371094,0.001953125,2584,,32,,0,,,153:0.0008872116203781366;155:0.00115129656482571,153:88;155:88,153:0.0010925401538628143;155:0.0008506259813076122,Yes
155,,414.93976520951514,622.7888416630287,0.003295898,0.001953125,0.002441406,2584,,32,,0,,,139:0.0020843273962478093;154:0.00115129656482571,139:88;154:88,139:0.001931866575258706;154:0.0008506259813076122,Yes
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,78.32490376,292.3120535,0.000976563,01:00.1,,,,,,,,,,,,
,,273.4226985,407.1216131,0.004150391,,,,,,,,,,,,,
,,395.0029146,515.3694196,0.139526367,,,,,,,,,,,,,
