Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
20,145.1048578,223.9281213,0.008789063,0.01171875,0.005859375,2584,0.00036351,0.00036351,0,0.00036351,0.00036351,20_21:0.004659514809902288,20_21:0.0025435005914433706,20_21:68,TRUE,,0.002555875,,0.003357166,,
21,258.6626045,233.1375705,0.003173828,0.00390625,0.002441406,2584,0.000171851,0.000171851,0,0.000171851,0.000171851,21_36:0.0041436426639872015;21_20:0.004659514809902288;21_22:0.001617173926494242,21_36:0.0028789537917268404;21_20:0.0025435005914433706;21_22:0.005418655268963429,21_36:68;21_20:68;21_22:68,TRUE,,0.002555875,,0.003357166,,
22,215.0942019,38.47957827,0.01171875,0.013183594,0.010253906,2584,0.000187973,0.000187973,0,0.000187973,0.000187973,22_23:0.0016849203036208293;22_21:0.001617173926494242,22_23:0.0049956036773027845;22_21:0.005418655268963429,22_23:68;22_21:68,TRUE,,0.002420629,,0.003090806,,
23,211.2814712,139.3335525,0.019042969,0.029785156,0.008300781,2584,0.000247586,0.000247586,0,0.000247586,0.000247586,23_22:0.0016849203036208293;23_24:1;23_16:0.00415890912761574,23_22:0.0049956036773027845;23_24:1;23_16:0.0020476280439332695,23_22:68;23_24:68;23_16:68,TRUE,,0.004708967,,0.004440955,,
24,35.49771135,0.179829142,0.209960938,0.210449219,0.209472656,2584,1,1,0,1,1,24_23:1;24_25:1,24_23:1;24_25:1,24_23:68;24_25:68,TRUE,,0.002420629,,0.003090806,,
25,143.3818803,65.7521187,0.062744141,0.047363281,0.078125,2584,0.000447744,0.000447744,0,0.000447744,0.000447744,25_24:1;25_26:0.03875527526880784;25_37:0.004653431423164545,25_24:1;25_26:0.02089697252260242;25_37:0.0067021212909329775,25_24:68;25_26:68;25_37:68,TRUE,,0.001978635,,0.001745093,,
26,6.971507501,5.295153946,0.084228516,0.093261719,0.075195313,2584,0.002399968,0.002399968,0,0.002399968,0.002399968,26_25:0.03875527526880784;26_27:0.03817133987672405,26_25:0.02089697252260242;26_27:0.01658226508269184,26_25:68;26_27:68,TRUE,,0.00144218,,0.001731415,,
27,196.1703386,80.29495535,0.006591797,0.011230469,0.001953125,2584,0.000243496,0.000243496,0,0.000243496,0.000243496,27_26:0.03817133987672405;27_28:0.00236055682741515;27_17:0.005372504045920434,27_26:0.01658226508269184;27_28:0.005432419080691253;27_17:0.007029554275489069,27_26:68;27_28:68;27_17:68,TRUE,,0.001978635,,0.001745093,,
28,301.8867513,108.1290562,0.012451172,0.017089844,0.0078125,2584,0.000270837,0.000270837,0,0.000270837,0.000270837,28_27:0.00236055682741515;28_29:0.0022742926502757888,28_27:0.005432419080691253;28_29:0.0041157707205234095,28_27:68;28_29:68,TRUE,,0.00144218,,0.001731415,,
29,211.1684538,124.7058018,0.007080078,0.012695313,0.001464844,2584,0.000171247,0.000171247,0,0.000171247,0.000171247,29_38:0.0034952713230506083;29_28:0.0022742926502757888;29_30:0.0026782153418624666,29_38:0.003417632148332961;29_28:0.0041157707205234095;29_30:0.006964909942374725,29_38:68;29_28:68;29_30:68,TRUE,,0.001761814,,0.001412858,,
