Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,RZZ error ,Gate time (ns),Operational,,RZZ,,CZ,,CZ_cleaned
86,159.8653781,66.84432644,0.025634766,0.014160156,0.037109375,2584,0.000406161,0.000406161,0,0.000406161,0.000406161,86_85:0.0049958995038420495;86_87:0.0027371941777837305,86_85:0.005690474055304373;86_87:1,86_85:68;86_87:68,TRUE,,0.006545415,,0.003286599,,
87,187.4796585,94.99662908,0.003417969,0.005859375,0.000976563,2584,0.000596745,0.000596745,0,0.000596745,0.000596745,87_86:0.0027371941777837305;87_88:0.0019298853143858707;87_97:0.0026269573580192662,87_86:1;87_88:0.0026344603418630985;87_97:0.002620981534121991,87_86:68;87_88:68;87_97:68,TRUE,,0.004004442,,0.002264171,,
88,219.7667006,208.8841546,0.016357422,0.018554688,0.014160156,2584,0.000323966,0.000323966,0,0.000323966,0.000323966,88_87:0.0019298853143858707;88_89:0.0017473978419059177,88_87:0.0026344603418630985;88_89:0.0051147903458167165,88_87:68;88_89:68,TRUE,,0.003489343,,0.002637819,,
89,241.2070582,97.84642763,0.015869141,0.026367188,0.005371094,2584,0.000184841,0.000184841,0,0.000184841,0.000184841,89_90:0.004091190215201268;89_88:0.0017473978419059177;89_78:0.0033757637834512244,89_90:0.0022781860038875723;89_88:0.0051147903458167165;89_78:0.0025215083299916508,89_90:68;89_88:68;89_78:68,TRUE,,0.003489343,,0.002637819,,
90,254.7068809,183.6822164,0.005371094,0.009277344,0.001464844,2584,0.000255645,0.000255645,0,0.000255645,0.000255645,90_89:0.004091190215201268;90_91:0.0029550438252555766,90_89:0.0022781860038875723;90_91:0.00246081875689394,90_89:68;90_91:80,TRUE,,0.002850686,,0.002191603,,
91,139.1211873,267.6114584,0.018310547,0.021484375,0.015136719,2584,0.000220754,0.000220754,0,0.000220754,0.000220754,91_98:0.0017481159723072848;91_90:0.0029550438252555766;91_92:0.00288163877264791,91_98:0.0015184396482710583;91_90:0.00246081875689394;91_92:0.002690288301875454,91_98:68;91_90:80;91_92:68,TRUE,,0.002842027,,0.004051398,,
92,314.2480595,464.9751189,0.006591797,0.008789063,0.004394531,2584,0.000470929,0.000470929,0,0.000470929,0.000470929,92_91:0.00288163877264791;92_93:0.006873562961714597,92_91:0.002690288301875454;92_93:0.002624011333446419,92_91:68;92_93:68,TRUE,,0.002850686,,0.002191603,,
93,300.4075378,341.2565073,0.007324219,0.014160156,0.000488281,2584,0.00067152,0.00067152,0,0.00067152,0.00067152,93_94:0.0020701989273834154;93_79:0.0024465439695114943;93_92:0.006873562961714597,93_94:0.0017177816976150229;93_79:0.0019711780650794875;93_92:0.002624011333446419,93_94:68;93_79:68;93_92:68,TRUE,,0.006231681,,0.008776582,,
94,363.5320001,273.5151126,0.005126953,0.008789063,0.001464844,2584,0.000348782,0.000348782,0,0.000348782,0.000348782,94_93:0.0020701989273834154;94_95:0.005303258216593887,94_93:0.0017177816976150229;94_95:0.002906903924559029,94_93:68;94_95:68,TRUE,,0.006231681,,0.008776582,,
95,321.2211969,332.5289376,0.007568359,0.012207031,0.002929688,2584,0.00014661,0.00014661,0,0.00014661,0.00014661,95_99:0.0036711073194133914;95_94:0.005303258216593887,95_99:0.0065104004508426405;95_94:0.002906903924559029,95_99:68;95_94:68,TRUE,,0.005439267,,0.007862465,,
96,141.3315419,33.4123571,0.008789063,0.016113281,0.001464844,2584,0.000600853,0.000600853,0,0.000600853,0.000600853,96_83:0.003013406934557372;96_103:0.006223769261971657,96_83:0.0036353141717268556;96_103:0.006854135217012586,96_83:68;96_103:68,TRUE,,0.00351484,,0.003112021,,
97,303.1602372,93.22967381,0.010009766,0.014160156,0.005859375,2584,0.000216927,0.000216927,0,0.000216927,0.000216927,97_87:0.0026269573580192662;97_107:0.0026372918333461004,97_87:0.002620981534121991;97_107:0.0033330727923431003,97_87:68;97_107:68,TRUE,,0.003081112,,0.004477069,,
98,256.9602102,65.86189516,0.009521484,0.016601563,0.002441406,2584,0.000179901,0.000179901,0,0.000179901,0.000179901,98_91:0.0017481159723072848;98_111:0.0021346838380469912,98_91:0.0015184396482710583;98_111:0.0029539596781422983,98_91:68;98_111:68,TRUE,,0.00351484,,0.003112021,,
99,82.30281867,35.24427211,0.011474609,0.013183594,0.009765625,2584,0.000193053,0.000193053,0,0.000193053,0.000193053,99_115:0.002653014001065379;99_95:0.0036711073194133914,99_115:0.0021232318456576305;99_95:0.0065104004508426405,99_115:68;99_95:68,TRUE,,0.003081112,,0.004477069,,
100,91.84319601,88.39217711,0.006347656,0.012207031,0.000488281,2584,0.000727388,0.000727388,0,0.000727388,0.000727388,100_101:0.0049178621276509404,100_101:0.00443535136846035,100_101:68,TRUE,,0.004560757,,0.003252457,,
101,136.9843064,32.3002725,0.008789063,0.016113281,0.001464844,2584,0.000538019,0.000538019,0,0.000538019,0.000538019,101_100:0.0049178621276509404;101_116:0.00435584425218255;101_102:0.007251615223314523,101_100:0.00443535136846035;101_116:0.006108908627147663;101_102:1,101_100:68;101_116:68;101_102:68,TRUE,,0.011283918,,0.00502926,,
102,110.7184519,94.08144989,0.009277344,0.015625,0.002929688,2584,0.000350812,0.000350812,0,0.000350812,0.000350812,102_101:0.007251615223314523;102_103:0.006941196110840542,102_101:1;102_103:1,102_101:68;102_103:68,TRUE,,0.004560757,,0.003252457,,
103,87.71347782,69.66123495,0.032470703,0.0234375,0.041503906,2584,0.000469869,0.000469869,0,0.000469869,0.000469869,103_104:0.004501164024224735;103_96:0.006223769261971657;103_102:0.006941196110840542,103_104:1;103_96:0.006854135217012586;103_102:1,103_104:68;103_96:68;103_102:68,TRUE,,0.002937186,,0.003174486,,
104,260.4683447,129.0665549,0.016357422,0.025390625,0.007324219,2584,0.00025178,0.00025178,0,0.00025178,0.00025178,104_103:0.004501164024224735;104_105:0.0029358259222347916,104_103:1;104_105:0.0024164332158896074,104_103:68;104_105:68,TRUE,,0.003570527,,0.007512364,,
105,135.3978698,100.1832524,0.006103516,0.01171875,0.000488281,2584,0.00028605,0.00028605,0,0.00028605,0.00028605,105_104:0.0029358259222347916;105_106:0.004535308795828086;105_117:0.003520577016550175,105_104:0.0024164332158896074;105_106:0.002041164805689416;105_117:0.008000425357157837,105_104:68;105_106:68;105_117:68,TRUE,,0.002836949,,0.002625212,,
106,255.6031865,364.9405885,0.012939453,0.013671875,0.012207031,2584,0.000206751,0.000206751,0,0.000206751,0.000206751,106_107:0.005934696635983061;106_105:0.004535308795828086,106_107:0.0023279006000120894;106_105:0.002041164805689416,106_107:68;106_105:68,TRUE,,0.002937186,,0.003174486,,
107,217.5909933,90.29265436,0.007324219,0.014160156,0.000488281,2584,0.00017957,0.00017957,0,0.00017957,0.00017957,107_106:0.005934696635983061;107_108:0.0036753520280494167;107_97:0.0026372918333461004,107_106:0.0023279006000120894;107_108:0.00407672583394969;107_97:0.0033330727923431003,107_106:68;107_108:68;107_97:68,TRUE,,0.003570527,,0.007512364,,
108,185.9525764,156.1499744,0.008300781,0.012207031,0.004394531,2584,0.000654696,0.000654696,0,0.000654696,0.000654696,108_107:0.0036753520280494167;108_109:0.0034697681925305868,108_107:0.00407672583394969;108_109:0.0031431026272804863,108_107:68;108_109:68,TRUE,,0.004613381,,0.005861541,,
109,267.4972934,168.6988304,0.008544922,0.014648438,0.002441406,2584,0.000233398,0.000233398,0,0.000233398,0.000233398,109_108:0.0034697681925305868;109_110:0.0015797202419755574;109_118:0.00362367771028016,109_108:0.0031431026272804863;109_110:0.0014700840533846404;109_118:1,109_108:68;109_110:68;109_118:68,TRUE,,0.004613381,,0.005861541,,
110,298.1503126,162.8436316,0.004882813,0.006347656,0.003417969,2584,0.000258602,0.000258602,0,0.000258602,0.000258602,110_109:0.0015797202419755574;110_111:0.0019881498584790602,110_109:0.0014700840533846404;110_111:0.001889433389411832,110_109:68;110_111:68,TRUE,,0.002196571,,0.002176583,,
111,172.5363888,65.10917138,0.009277344,0.011230469,0.007324219,2584,0.000198724,0.000198724,0,0.000198724,0.000198724,111_112:0.0026952093641844366;111_110:0.0019881498584790602;111_98:0.0021346838380469912,111_112:0.002306316912909251;111_110:0.001889433389411832;111_98:0.0029539596781422983,111_112:68;111_110:68;111_98:68,TRUE,,0.005601283,,0.004373765,,
112,254.412736,241.0644418,0.004150391,0.006835938,0.001464844,2584,0.000219326,0.000219326,0,0.000219326,0.000219326,112_111:0.0026952093641844366;112_113:1,112_111:0.002306316912909251;112_113:0.02024999999999999,112_111:68;112_113:68,TRUE,,0.002196571,,0.002176583,,
113,195.3146359,119.9211798,0.499755859,0.999511719,0,2584,1,1,0,1,1,113_119:1;113_112:1;113_114:1,113_119:1;113_112:0.02024999999999999;113_114:0.02024999999999999,113_119:68;113_112:68;113_114:68,TRUE,,0.002702976,,0.002527647,,
114,280.6646575,277.5609134,0.005859375,0.008300781,0.003417969,2584,0.000160873,0.000160873,0,0.000160873,0.000160873,114_115:0.002234534081660855;114_113:1,114_115:0.0022964547155838733;114_113:0.02024999999999999,114_115:68;114_113:68,TRUE,,0.002702976,,0.002527647,,
115,197.703522,64.08155596,0.013427734,0.012695313,0.014160156,2584,0.00014679,0.00014679,0,0.00014679,0.00014679,115_99:0.002653014001065379;115_114:0.002234534081660855,115_99:0.0021232318456576305;115_114:0.0022964547155838733,115_99:68;115_114:68,TRUE,,0.006482247,,0.002651689,,
116,79.57928626,97.208255,0.008300781,0.015136719,0.001464844,2584,0.000275502,0.000275502,0,0.000275502,0.000275502,116_101:0.00435584425218255;116_121:0.004535251422915776,116_101:0.006108908627147663;116_121:0.003372867423366288,116_101:68;116_121:68,TRUE,,0.003910947,,0.002972812,,
117,147.5346842,9.025896215,0.008300781,0.013671875,0.002929688,2584,0.000568933,0.000568933,0,0.000568933,0.000568933,117_105:0.003520577016550175;117_125:0.004109012417170321,117_105:0.008000425357157837;117_125:0.004068494306190051,117_105:68;117_125:68,TRUE,,0.006482247,,0.002651689,,
118,172.0591735,65.84774878,0.010986328,0.012207031,0.009765625,2584,0.00036672,0.00036672,0,0.00036672,0.00036672,118_109:0.00362367771028016;118_129:0.0035078964771286247,118_109:1;118_129:1,118_109:68;118_129:68,TRUE,,0.002943887,,0.003900446,,
119,237.0675555,24.77796474,0.200927734,0.399902344,0.001953125,2584,0.000233436,0.000233436,0,0.000233436,0.000233436,119_113:1;119_133:0.12605970888120505,119_113:1;119_133:1,119_113:68;119_133:68,TRUE,,0.006545415,,0.003286599,,
120,271.7336165,51.01452505,0.008056641,0.014160156,0.001953125,2584,0.000371886,0.000371886,0,0.000371886,0.000371886,120_121:0.004021685083570203,120_121:0.0033357519379069722,120_121:68,TRUE,,0.002943887,,0.003900446,,
121,220.2170628,317.5538373,0.015625,0.024414063,0.006835938,2584,0.000215414,0.000215414,0,0.000215414,0.000215414,121_120:0.004021685083570203;121_122:0.0051891952250106566;121_116:0.004535251422915776,121_120:0.0033357519379069722;121_122:0.0029304207067719357;121_116:0.003372867423366288,121_120:68;121_122:80;121_116:68,TRUE,,0.001387654,,0.002830369,,
122,152.1791958,20.79995567,0.01171875,0.019042969,0.004394531,2584,0.000285656,0.000285656,0,0.000285656,0.000285656,122_121:0.0051891952250106566;122_123:0.005736574590361865,122_121:0.0029304207067719357;122_123:0.0032436496002201665,122_121:80;122_123:68,TRUE,,0.001387654,,0.002830369,,
123,165.8338882,76.0485684,0.010498047,0.0078125,0.013183594,2584,0.001037951,0.001037951,0,0.001037951,0.001037951,123_136:0.005280942350040341;123_124:0.011971355551352147;123_122:0.005736574590361865,123_136:0.0025890731889742225;123_124:0.0034805191957062165;123_122:0.0032436496002201665,123_136:68;123_124:68;123_122:68,TRUE,,0.00157035,,0.002027077,,
124,145.0335726,52.93479343,0.015380859,0.022949219,0.0078125,2584,0.000425988,0.000425988,0,0.000425988,0.000425988,124_123:0.011971355551352147;124_125:0.008237786730718122,124_123:0.0034805191957062165;124_125:0.0024144460231371456,124_123:68;124_125:68,TRUE,,0.002835761,,0.002179095,,
125,150.5304259,48.78533957,0.011230469,0.021484375,0.000976563,2584,0.000350262,0.000350262,0,0.000350262,0.000350262,125_117:0.004109012417170321;125_124:0.008237786730718122;125_126:0.003880701034668199,125_117:0.004068494306190051;125_124:0.0024144460231371456;125_126:0.005383059647507876,125_117:68;125_124:68;125_126:68,TRUE,,0.00157035,,0.002027077,,
126,159.4989758,35.29881456,0.0078125,0.014648438,0.000976563,2584,0.000382779,0.000382779,0,0.000382779,0.000382779,126_127:0.007417785506462493;126_125:0.003880701034668199,126_127:1;126_125:0.005383059647507876,126_127:68;126_125:68,TRUE,,0.006265325,,0.006490984,,
127,125.7989816,16.93498525,0.02734375,0.037109375,0.017578125,2584,0.000268385,0.000268385,0,0.000268385,0.000268385,127_126:0.007417785506462493;127_128:0.0025136708061126445;127_137:0.0039573511853424614,127_126:1;127_128:0.002368290428869879;127_137:0.004156657779355866,127_126:68;127_128:68;127_137:68,TRUE,,0.005439267,,0.007862465,,
128,284.0005405,38.78129359,0.010986328,0.013183594,0.008789063,2584,0.000257928,0.000257928,0,0.000257928,0.000257928,128_127:0.0025136708061126445;128_129:0.002505489100253777,128_127:0.002368290428869879;128_129:0.002705298858289823,128_127:68;128_129:68,TRUE,,0.002836949,,0.002625212,,
129,262.6169406,244.0730664,0.009521484,0.015136719,0.00390625,2584,0.000277813,0.000277813,0,0.000277813,0.000277813,129_130:1;129_128:0.002505489100253777;129_118:0.0035078964771286247,129_130:0.1092915653773971;129_128:0.002705298858289823;129_118:1,129_130:68;129_128:68;129_118:68,TRUE,,1,,0.006548286,,
130,364.5703947,73.12972861,0.31640625,0.494628906,0.138183594,2584,1,1,0,1,1,130_129:1;130_131:0.05493816685730907,130_129:0.1092915653773971;130_131:0.1505977456473599,130_129:68;130_131:68,TRUE,,1,,0.002803451,,
131,295.6512519,114.9809719,0.006835938,0.013183594,0.000488281,2584,0.000422043,0.000422043,0,0.000422043,0.000422043,131_138:0.00353072251605413;131_130:0.05493816685730907;131_132:0.002580486217835465,131_138:0.0024390105568714016;131_130:0.1505977456473599;131_132:0.0026081630494574626,131_138:68;131_130:68;131_132:68,TRUE,,0.003910947,,0.002972812,,
132,367.4220053,78.67663221,0.009277344,0.006835938,0.01171875,2584,0.000115749,0.000115749,0,0.000115749,0.000115749,132_133:0.002665136459277795;132_131:0.002580486217835465,132_133:0.001388333718673862;132_131:0.0026081630494574626,132_133:68;132_131:68,TRUE,,0.002835761,,0.002179095,,
133,317.7448718,304.4820831,0.010742188,0.016601563,0.004882813,2584,0.000442539,0.000442539,0,0.000442539,0.000442539,133_132:0.002665136459277795;133_134:0.004086540029346386;133_119:0.12605970888120505,133_132:0.001388333718673862;133_134:1;133_119:1,133_132:68;133_134:80;133_119:68,TRUE,,1,,0.003149104,,
134,386.3242789,151.878924,0.004638672,0.005371094,0.00390625,2584,0.000178106,0.000178106,0,0.000178106,0.000178106,134_133:0.004086540029346386;134_135:0.011493591731288777,134_133:1;134_135:0.004807803449198622,134_133:80;134_135:68,TRUE,,1,,0.008720407,,
135,404.7665837,85.43532518,0.069824219,0.043457031,0.096191406,2584,8.95123E-05,8.95123E-05,0,8.95123E-05,8.95123E-05,135_134:0.011493591731288777;135_139:0.0010016547980283286,135_134:0.004807803449198622;135_139:0.001646601680701465,135_134:68;135_139:68,TRUE,,0.001956389,,0.003743153,,
136,157.7669876,195.0683683,0.011230469,0.017089844,0.005371094,2584,0.000370907,0.000370907,0,0.000370907,0.000370907,136_123:0.005280942350040341;136_143:0.0025542731397207863,136_123:0.0025890731889742225;136_143:0.0015361872461629178,136_123:68;136_143:68,TRUE,,1,,0.008720407,,
137,163.6793459,35.65387095,0.013916016,0.0234375,0.004394531,2584,0.000525351,0.000525351,0,0.000525351,0.000525351,137_147:0.005560473091208551;137_127:0.0039573511853424614,137_147:0.003229634054272179;137_127:0.004156657779355866,137_147:68;137_127:68,TRUE,,0.006521051,,0.002461163,,
138,275.6495877,184.2223616,0.003662109,0.005371094,0.001953125,2584,0.000285063,0.000285063,0,0.000285063,0.000285063,138_151:0.0033805805715989012;138_131:0.00353072251605413,138_151:0.002489327651993084;138_131:0.0024390105568714016,138_151:68;138_131:68,TRUE,,0.006521051,,0.002461163,,
139,174.5280273,165.1344954,0.005615234,0.009765625,0.001464844,2584,0.000165388,0.000165388,0,0.000165388,0.000165388,139_155:1;139_135:0.0010016547980283286,139_155:0.03966360593726195;139_135:0.001646601680701465,139_155:80;139_135:68,TRUE,,0.00897714,,0.002648638,,
140,279.8379946,31.93270662,0.022460938,0.018554688,0.026367188,2584,0.000215388,0.000215388,0,0.000215388,0.000215388,140_141:0.004193913743856248,140_141:0.002878036238324444,140_141:68,TRUE,,0.006265325,,0.006490984,,
141,302.9777507,155.4706641,0.009033203,0.006835938,0.011230469,2584,0.000208286,0.000208286,0,0.000208286,0.000208286,141_140:0.004193913743856248;141_142:0.0021644235577686355,141_140:0.002878036238324444;141_142:0.0032919110396230633,141_140:68;141_142:68,TRUE,,0.00897714,,0.002648638,,
142,155.5696936,125.3628026,0.019042969,0.021972656,0.016113281,2584,0.000244208,0.000244208,0,0.000244208,0.000244208,142_143:0.002615164542868642;142_141:0.0021644235577686355,142_143:0.0024398122572588665;142_141:0.0032919110396230633,142_143:68;142_141:68,TRUE,,0.007361925,,0.003506136,,
143,171.1194894,50.16153475,0.012207031,0.013183594,0.011230469,2584,0.000274685,0.000274685,0,0.000274685,0.000274685,143_142:0.002615164542868642;143_144:0.005207367190878998;143_136:0.0025542731397207863,143_142:0.0024398122572588665;143_144:0.005837495162330619;143_136:0.0015361872461629178,143_142:68;143_144:68;143_136:68,TRUE,,0.00324347,,0.002792092,,
144,114.6477846,25.99233714,0.014892578,0.024902344,0.004882813,2584,0.000606923,0.000606923,0,0.000606923,0.000606923,144_145:0.004245803791978475;144_143:0.005207367190878998,144_145:0.0032040427437872443;144_143:0.005837495162330619,144_145:68;144_143:68,TRUE,,0.007361925,,0.003506136,,
145,134.562627,94.68269989,0.017578125,0.017089844,0.018066406,2584,0.000308963,0.000308963,0,0.000308963,0.000308963,145_144:0.004245803791978475;145_146:0.0024931066190962414,145_144:0.0032040427437872443;145_146:0.0027438894509668743,145_144:68;145_146:68,TRUE,,0.00324347,,0.002792092,,
146,162.0433643,82.67404225,0.013916016,0.016113281,0.01171875,2584,0.000158607,0.000158607,0,0.000158607,0.000158607,146_145:0.0024931066190962414;146_147:0.007016246781333502,146_145:0.0027438894509668743;146_147:0.0039460090336909115,146_145:68;146_147:68,TRUE,,0.004271666,,0.002577522,,
147,302.1856098,56.61551285,0.059570313,0.036132813,0.083007813,2584,0.000149808,0.000149808,0,0.000149808,0.000149808,147_148:0.003214506766860914;147_137:0.005560473091208551;147_146:0.007016246781333502,147_148:0.0019083497549253203;147_137:0.003229634054272179;147_146:0.0039460090336909115,147_148:68;147_137:68;147_146:68,TRUE,,0.003804379,,0.003402433,,
148,251.7407572,123.4518779,0.00390625,0.005859375,0.001953125,2584,0.000310135,0.000310135,0,0.000310135,0.000310135,148_147:0.003214506766860914;148_149:0.0020821468076450134,148_147:0.0019083497549253203;148_149:0.0018587535885420947,148_147:68;148_149:68,TRUE,,0.004271666,,0.002577522,,
149,192.3113124,55.90409385,0.008789063,0.016113281,0.001464844,2584,0.000189438,0.000189438,0,0.000189438,0.000189438,149_150:0.002709606933748776;149_148:0.0020821468076450134,149_150:0.0032977949551846186;149_148:0.0018587535885420947,149_150:68;149_148:68,TRUE,,0.004834084,,0.003312835,,
150,137.2000538,59.97956793,0.016601563,0.017578125,0.015625,2584,0.00026377,0.00026377,0,0.00026377,0.00026377,150_149:0.002709606933748776;150_151:0.0025617820638371702,150_149:0.0032977949551846186;150_151:0.006027757154312585,150_149:68;150_151:68,TRUE,,0.003434444,,0.004474798,,
151,238.0973243,93.39613772,0.090332031,0.056640625,0.124023438,2584,0.000269721,0.000269721,0,0.000269721,0.000269721,151_138:0.0033805805715989012;151_152:0.031320407856337495;151_150:0.0025617820638371702,151_138:0.002489327651993084;151_152:0.014718563522965328;151_150:0.006027757154312585,151_138:68;151_152:68;151_150:68,TRUE,,1,,0.006548286,,
152,332.8877818,243.1107673,0.005126953,0.002929688,0.007324219,2584,0.0003213,0.0003213,0,0.0003213,0.0003213,152_151:0.031320407856337495;152_153:0.0031268700552756767,152_151:0.014718563522965328;152_153:0.0019582515517164722,152_151:68;152_153:68,TRUE,,0.004834084,,0.003312835,,
153,243.1849209,283.9765873,0.076904297,0.047851563,0.105957031,2584,0.000122127,0.000122127,0,0.000122127,0.000122127,153_152:0.0031268700552756767;153_154:1,153_152:0.0019582515517164722;153_154:0.004617836137980613,153_152:68;153_154:68,TRUE,,0.003434444,,0.004474798,,
154,252.5106109,12.92854203,0.015136719,0.014648438,0.015625,2584,0.000213653,0.000213653,0,0.000213653,0.000213653,154_153:1;154_155:0.0025745697906884857,154_153:0.004617836137980613;154_155:0.0019142742598926843,154_153:68;154_155:68,TRUE,,0.00346097,,0.003572727,,
155,407.7583532,117.031948,0.007568359,0.013183594,0.001953125,2584,0.000127916,0.000127916,0,0.000127916,0.000127916,155_139:1;155_154:0.0025745697906884857,155_139:0.03966360593726195;155_154:0.0019142742598926843,155_139:80;155_154:68,TRUE,,0.003218033,,0.005352242,,
,,,,,,,,,,,,,,,,,0.00346097,,0.003572727,,
,,,,,,,,,,,,,,,,,0.002747368,,0.002765961,,
,,,,,,,,,,,,,,,,,0.002747368,,0.002765961,,
,198.5996906,139.5074795,,,,,,,,,,,,,,,0.002983654,,0.002594232,,
,,,,,,,,,,,,,,,,,0.006546216,,0.004293913,,
,,,,,,,,,,,,,,,,,1,,0.002803451,,
,,,,,,,,,,,,,,,,,0.002983654,,0.002594232,,
,,,,,,,,,,,,,,,,,0.037427788,,0.073077646,,
,,,,,,,,,,,,,,,,,0.006546216,,0.004293913,,
,,,,,,,,,,,,,,,,,0.037427788,,0.073077646,,
,,,,,,,,,,,,,,,,,0.003374984,,0.004155011,,
,,,,,,,,,,,,,,,,,0.00279334,,0.002791672,,
,,,,,,,,,,,,,,,,,0.003374984,,0.004155011,,
,,,,,,,,,,,,,,,,,0.002662271,,0.002528232,,
,,,,,,,,,,,,,,,,,1,,0.003149104,,
,,,,,,,,,,,,,,,,,0.002662271,,0.002528232,,
,,,,,,,,,,,,,,,,,0.003374244,,0.003527977,,
,,,,,,,,,,,,,,,,,0.001956389,,0.003743153,,
,,,,,,,,,,,,,,,,,0.002916233,,0.003885484,,
,,,,,,,,,,,,,,,,,0.003804379,,0.003402433,,
,,,,,,,,,,,,,,,,,0.003218033,,0.005352242,,
,,,,,,,,,,,,,,,,,0.002521508,,0.003375764,,
,,,,,,,,,,,,,,,,,0.001971178,,0.002446544,,
,,,,,,,,,,,,,,,,,0.00279334,,0.002791672,,
,,,,,,,,,,,,,,,,,0.003229092,,0.003782253,,
,,,,,,,,,,,,,,,,,0.003229092,,0.003782253,,
,,,,,,,,,,,,,,,,,1,,1,,
,,,,,,,,,,,,,,,,,0.003374244,,0.003527977,,
,,,,,,,,,,,,,,,,,1,,1,,
,,,,,,,,,,,,,,,,,1,,1,,
,,,,,,,,,,,,,,,,,0.003635314,,0.003013407,,
,,,,,,,,,,,,,,,,,1,,1,,
,,,,,,,,,,,,,,,,,0.003878058,,0.004523742,,
,,,,,,,,,,,,,,,,,0.003878058,,0.004523742,,
,,,,,,,,,,,,,,,,,0.006110505,,0.005156649,,
,,,,,,,,,,,,,,,,,0.002916233,,0.003885484,,
,,,,,,,,,,,,,,,,,0.005690474,,0.0049959,,
,,,,,,,,,,,,,,,,,0.006110505,,0.005156649,,
,,,,,,,,,,,,,,,,,0.005690474,,0.0049959,,
,,,,,,,,,,,,,,,,,1,,0.002737194,,
,,,,,,,,,,,,,,,,,1,,0.002737194,,
,,,,,,,,,,,,,,,,,0.00263446,,0.001929885,,
,,,,,,,,,,,,,,,,,0.002620982,,0.002626957,,
,,,,,,,,,,,,,,,,,0.00263446,,0.001929885,,
,,,,,,,,,,,,,,,,,0.00511479,,0.001747398,,
,,,,,,,,,,,,,,,,,0.002278186,,0.00409119,,
,,,,,,,,,,,,,,,,,0.00511479,,0.001747398,,
,,,,,,,,,,,,,,,,,0.002521508,,0.003375764,,
,,,,,,,,,,,,,,,,,0.002278186,,0.00409119,,
,,,,,,,,,,,,,,,,,0.002460819,,0.002955044,,
,,,,,,,,,,,,,,,,,0.00151844,,0.001748116,,
,,,,,,,,,,,,,,,,,0.002460819,,0.002955044,,
,,,,,,,,,,,,,,,,,0.002690288,,0.002881639,,
,,,,,,,,,,,,,,,,,0.002690288,,0.002881639,,
,,,,,,,,,,,,,,,,,0.002624011,,0.006873563,,
,,,,,,,,,,,,,,,,,0.001717782,,0.002070199,,
,,,,,,,,,,,,,,,,,0.001971178,,0.002446544,,
,,,,,,,,,,,,,,,,,0.002624011,,0.006873563,,
,,,,,,,,,,,,,,,,,0.001717782,,0.002070199,,
,,,,,,,,,,,,,,,,,0.002906904,,0.005303258,,
,,,,,,,,,,,,,,,,,0.0065104,,0.003671107,,
,,,,,,,,,,,,,,,,,0.002906904,,0.005303258,,
,,,,,,,,,,,,,,,,,0.003635314,,0.003013407,,
,,,,,,,,,,,,,,,,,0.006854135,,0.006223769,,
,,,,,,,,,,,,,,,,,0.002620982,,0.002626957,,
,,,,,,,,,,,,,,,,,0.003333073,,0.002637292,,
,,,,,,,,,,,,,,,,,0.00151844,,0.001748116,,
,,,,,,,,,,,,,,,,,0.00295396,,0.002134684,,
,,,,,,,,,,,,,,,,,0.002123232,,0.002653014,,
,,,,,,,,,,,,,,,,,0.0065104,,0.003671107,,
,,,,,,,,,,,,,,,,,0.004435351,,0.004917862,,
,,,,,,,,,,,,,,,,,0.004435351,,0.004917862,,
,,,,,,,,,,,,,,,,,0.006108909,,0.004355844,,
,,,,,,,,,,,,,,,,,1,,0.007251615,,
,,,,,,,,,,,,,,,,,1,,0.007251615,,
,,,,,,,,,,,,,,,,,1,,0.006941196,,
,,,,,,,,,,,,,,,,,1,,0.004501164,,
,,,,,,,,,,,,,,,,,0.006854135,,0.006223769,,
,,,,,,,,,,,,,,,,,1,,0.006941196,,
,,,,,,,,,,,,,,,,,1,,0.004501164,,
,,,,,,,,,,,,,,,,,0.002416433,,0.002935826,,
,,,,,,,,,,,,,,,,,0.002416433,,0.002935826,,
,,,,,,,,,,,,,,,,,0.002041165,,0.004535309,,
,,,,,,,,,,,,,,,,,0.008000425,,0.003520577,,
,,,,,,,,,,,,,,,,,0.002327901,,0.005934697,,
,,,,,,,,,,,,,,,,,0.002041165,,0.004535309,,
,,,,,,,,,,,,,,,,,0.002327901,,0.005934697,,
,,,,,,,,,,,,,,,,,0.004076726,,0.003675352,,
,,,,,,,,,,,,,,,,,0.003333073,,0.002637292,,
,,,,,,,,,,,,,,,,,0.004076726,,0.003675352,,
,,,,,,,,,,,,,,,,,0.003143103,,0.003469768,,
,,,,,,,,,,,,,,,,,0.003143103,,0.003469768,,
,,,,,,,,,,,,,,,,,0.001470084,,0.00157972,,
,,,,,,,,,,,,,,,,,1,,0.003623678,,
,,,,,,,,,,,,,,,,,0.001470084,,0.00157972,,
,,,,,,,,,,,,,,,,,0.001889433,,0.00198815,,
,,,,,,,,,,,,,,,,,0.002306317,,0.002695209,,
,,,,,,,,,,,,,,,,,0.001889433,,0.00198815,,
,,,,,,,,,,,,,,,,,0.00295396,,0.002134684,,
,,,,,,,,,,,,,,,,,0.002306317,,0.002695209,,
,,,,,,,,,,,,,,,,,0.02025,,1,,
,,,,,,,,,,,,,,,,,1,,1,,
